# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.27394        	(3.8020033e-06 7.8964312e-10 9.9290378e-06)	(3.8020033e-06 7.8964312e-10 9.9290378e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27492        	(3.7842255e-06 -9.0911658e-10 9.8496976e-06)	(3.7842255e-06 -9.0911658e-10 9.8496976e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27591        	(3.7954138e-06 7.8986056e-10 9.9146854e-06)	(3.7954138e-06 7.8986056e-10 9.9146854e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27689        	(3.7782306e-06 -3.0827025e-10 9.8490409e-06)	(3.7782306e-06 -3.0827025e-10 9.8490409e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27787        	(3.7853933e-06 4.4615734e-10 9.8843916e-06)	(3.7853933e-06 4.4615734e-10 9.8843916e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27886        	(3.7730587e-06 -8.4271187e-10 9.8275231e-06)	(3.7730587e-06 -8.4271187e-10 9.8275231e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.27985        	(3.7940938e-06 3.4315175e-10 9.9078043e-06)	(3.7940938e-06 3.4315175e-10 9.9078043e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28084        	(3.7493177e-06 6.4713159e-10 9.7984789e-06)	(3.7493177e-06 6.4713159e-10 9.7984789e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.28182        	(3.7921162e-06 9.1040680e-10 9.9168867e-06)	(3.7921162e-06 9.1040680e-10 9.9168867e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2828         	(3.7431713e-06 1.5953873e-09 9.8043262e-06)	(3.7431713e-06 1.5953873e-09 9.8043262e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
