# z phi vxP vxF T
2.302516411378555811e-02 6.252844158267039099e-01 2.705905392561424149e-05 1.644430076824188180e-02 1.455168678973147202e-06
2.322538293216630176e-02 6.238138788994705974e-01 2.794680258091743861e-05 2.110851259438831229e-02 1.481327200537804616e-06
2.342560175054704541e-02 6.223541314772390587e-01 2.890889109345440107e-05 2.319467056947056155e-02 1.508518905621004862e-06
2.362582056892778906e-02 6.210131595405299354e-01 2.991970535739516530e-05 2.208173254397275201e-02 1.536773850355340544e-06
2.382603938730853271e-02 6.199309415211816665e-01 3.098278737360546581e-05 1.820133933999946302e-02 1.566055538976152105e-06
2.402625820568927636e-02 6.191455308929471046e-01 3.211610495213411669e-05 1.293467917090310344e-02 1.596142577470428998e-06
2.422647702407002002e-02 6.186126619412692929e-01 3.330779112513862343e-05 7.876731879571406691e-03 1.627120847323085024e-06
2.442669584245076367e-02 6.184221109133557492e-01 3.454335907044890234e-05 4.504291024069668678e-03 1.658987611612068520e-06
2.462691466083151079e-02 6.185691397637765876e-01 3.584154172822843587e-05 2.435196150527644751e-03 1.691470033659859688e-06
2.482713347921225444e-02 6.188833077754299916e-01 3.721032307582192530e-05 1.159165779514913534e-03 1.724637796333969701e-06
2.502735229759299809e-02 6.192502682170538675e-01 3.865481607857421689e-05 5.267019324800276256e-04 1.758554248963133885e-06
2.522757111597374174e-02 6.197857941960857042e-01 4.017470737129288011e-05 4.870037287862515204e-04 1.793267209138664379e-06
2.542778993435448540e-02 6.204766598625488516e-01 4.176005267341613197e-05 9.707042516048445657e-04 1.828773234780597892e-06
2.562800875273522905e-02 6.212564399613179633e-01 4.338392404264355062e-05 2.280925347804195653e-03 1.864959286104909526e-06
2.582822757111597270e-02 6.221866329183577404e-01 4.503011476077479076e-05 5.220605333944819404e-03 1.901854623200844417e-06
2.602844638949671635e-02 6.231891809705299989e-01 4.672730195193257547e-05 9.912136765413354436e-03 1.939581134338130039e-06
2.622866520787746000e-02 6.242303498419967678e-01 4.845487970100109773e-05 1.503443681336608627e-02 1.978034787004536747e-06
2.642888402625820365e-02 6.252100748256269602e-01 5.021290549079990761e-05 1.917524285113294397e-02 2.017226220951927566e-06
2.662910284463894731e-02 6.260808406314277708e-01 5.204873889277222414e-05 2.121402859086948811e-02 2.057241122604437904e-06
2.682932166301969443e-02 6.268288746319879978e-01 5.392650838021881380e-05 2.042425444649784150e-02 2.098157222767804579e-06
2.702954048140043808e-02 6.274262175484369708e-01 5.585809253259898713e-05 1.718191997367419371e-02 2.140000268301371323e-06
2.722975929978118173e-02 6.277673900979788835e-01 5.785667288799761673e-05 1.262753442896893605e-02 2.182696865348215496e-06
2.742997811816192538e-02 6.277088395828542833e-01 5.992358312071154302e-05 8.196071138764056754e-03 2.226472754198498613e-06
