#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
 95   0.281418E+00   0.180823E+03   0.180327E+02  -0.354798E-18  -0.444376E-02   0.941510E-04  -0.213662E-20  -0.154409E-01  -0.980283E+00
 96   0.287132E+00   0.184494E+03   0.180890E+02  -0.838439E-18  -0.409921E-02   0.932038E-04   0.513664E-20  -0.152163E-01  -0.974564E+00
 97   0.292893E+00   0.188196E+03   0.181449E+02   0.662966E-18  -0.375783E-02   0.912940E-04  -0.560796E-20  -0.150018E-01  -0.968728E+00
 98   0.298702E+00   0.191928E+03   0.182005E+02  -0.143079E-18  -0.341910E-02   0.904532E-04   0.891132E-20  -0.147959E-01  -0.962773E+00
 99   0.304557E+00   0.195690E+03   0.182558E+02  -0.838216E-18  -0.307895E-02   0.903459E-04   0.106387E-19  -0.145951E-01  -0.956705E+00
100   0.310459E+00   0.199483E+03   0.183108E+02  -0.240901E-18  -0.273759E-02   0.894769E-04  -0.157313E-21  -0.143959E-01  -0.950528E+00
101   0.316408E+00   0.203305E+03   0.183654E+02  -0.170130E-18  -0.239922E-02   0.873979E-04  -0.111836E-19  -0.141979E-01  -0.944253E+00
102   0.322402E+00   0.207156E+03   0.184197E+02  -0.284613E-18  -0.206867E-02   0.839735E-04  -0.222808E-20  -0.140030E-01  -0.937886E+00
103   0.328441E+00   0.211036E+03   0.184737E+02  -0.319265E-18  -0.175312E-02   0.781800E-04   0.158594E-20  -0.138128E-01  -0.931437E+00
104   0.334525E+00   0.214946E+03   0.185273E+02  -0.510750E-18  -0.146337E-02   0.697114E-04  -0.783669E-21  -0.136279E-01  -0.924908E+00
105   0.340654E+00   0.218884E+03   0.185807E+02   0.287090E-18  -0.120783E-02   0.599831E-04  -0.378025E-20  -0.134479E-01  -0.918299E+00
106   0.346827E+00   0.222850E+03   0.186336E+02  -0.187768E-18  -0.990647E-03   0.492294E-04   0.297004E-20  -0.132721E-01  -0.911606E+00
107   0.353044E+00   0.226845E+03   0.186863E+02  -0.916877E-19  -0.820080E-03   0.355931E-04   0.238763E-20  -0.131013E-01  -0.904827E+00
